File,Keywords,Threshold,Modularity,Category List Precision,Category List Recall,Category List F-score,Manually Tagged Category Precision,Manually Tagged Category Recall,Manually Tagged Category F-score
graph_5_0.8.gexf,5,0.8,0.381,0.455,0.133,0.206,0.529,0.16,0.246
graph_5_0.9.gexf,5,0.9,0.508,0.5,0.111,0.182,0.566,0.133,0.216
graph_20_0.9.gexf,20,0.9,0.456,0.376,0.311,0.341,0.432,0.351,0.387
graph_10_0.7.gexf,10,0.7,0.392,0.39,0.284,0.329,0.447,0.316,0.37
graph_15_0.9.gexf,15,0.9,0.486,0.415,0.262,0.322,0.449,0.293,0.355
graph_15_0.8.gexf,15,0.8,0.4,0.417,0.289,0.341,0.45,0.32,0.374
graph_10_0.6.gexf,10,0.6,0.341,0.367,0.338,0.352,0.424,0.373,0.397
graph_20_0.8.gexf,20,0.8,0.379,0.402,0.391,0.396,0.45,0.436,0.442
graph_15_0.7.gexf,15,0.7,0.393,0.357,0.338,0.347,0.407,0.378,0.392
graph_10_0.9.gexf,10,0.9,0.505,0.475,0.213,0.294,0.53,0.236,0.326
graph_20_0.7.gexf,20,0.7,0.362,0.377,0.413,0.394,0.42,0.444,0.432
graph_20_0.6.gexf,20,0.6,0.299,0.378,0.48,0.423,0.418,0.524,0.465
graph_10_0.8.gexf,10,0.8,0.388,0.434,0.236,0.305,0.492,0.267,0.346
graph_15_0.6.gexf,15,0.6,0.325,0.386,0.453,0.417,0.427,0.498,0.46
graph_5_0.6.gexf,5,0.6,0.323,0.419,0.218,0.287,0.461,0.236,0.312
graph_5_0.7.gexf,5,0.7,0.356,0.4,0.142,0.21,0.468,0.164,0.243
